condition,exercise,description
Lower back pain,Cat-cow stretch,"Start on your hands and knees. Arch your back upwards while exhaling, then lower your back and lift your head while inhaling. Repeat 10 times."
Lower back pain,Child's pose,"Kneel on the floor, sit back on your heels, and stretch your arms forward, lowering your chest to the ground. Hold for 30 seconds."
Lower back pain,Pelvic tilts,"Lie on your back with knees bent. Tighten your abdominal muscles and push your lower back into the floor. Hold for 5 seconds, repeat 10 times."
Lower back pain,Bridges,"Lie on your back with knees bent. Lift your hips off the floor, forming a straight line from knees to shoulders. Hold for 5 seconds, repeat 10 times."
Lower back pain,Knee-to-chest stretch,"Lie on your back, pull one knee towards your chest, keeping the other leg straight. Hold for 30 seconds, switch legs."
Lower back pain,Bird dog,"Start on hands and knees. Extend one arm forward and the opposite leg back. Hold for 5 seconds, switch sides. Repeat 10 times."
Neck pain,Neck tilts,"Sit or stand with your head straight. Slowly tilt your head to one side, bringing your ear towards your shoulder. Hold for 15 seconds, then switch sides."
Neck pain,Chin tucks,"Sit or stand with your head straight. Pull your chin back, creating a 'double chin'. Hold for 5 seconds, repeat 10 times."
Neck pain,Neck rotations,"Sit or stand with your head straight. Slowly turn your head to one side until you feel a stretch. Hold for 15 seconds, then switch sides."
Neck pain,Scalene stretch,"Sit or stand, tilt your head to one side, then rotate it slightly towards the same side. Hold for 15 seconds, switch sides."
Neck pain,Levator scapulae stretch,"Sit or stand, tilt your head to one side, then turn your nose towards your armpit. Hold for 15 seconds, switch sides."
Neck pain,Upper trapezius stretch,"Sit or stand, gently pull your head to one side with your hand. Hold for 15 seconds, switch sides."
Shoulder impingement,Pendulum exercise,"Lean forward with one arm hanging down. Gently swing the arm in small circles. Perform for 1 minute, then switch arms."
Shoulder impingement,Wall slides,"Stand with your back against a wall, arms at 90 degrees. Slowly slide your arms up the wall, keeping elbows and wrists in contact. Repeat 10 times."
Shoulder impingement,External rotation with band,"Hold a resistance band with elbows at 90 degrees. Rotate your forearms outward, keeping elbows tucked. Repeat 10 times."
Shoulder impingement,Internal rotation with band,"Hold a resistance band with elbows at 90 degrees. Rotate your forearms inward, keeping elbows tucked. Repeat 10 times."
Shoulder impingement,Scaption raises,"Stand with arms at your sides. Raise your arms to shoulder height at a 45-degree angle, thumbs up. Repeat 10 times."
Shoulder impingement,Doorway stretch,"Stand in a doorway, place your hands on the frame at shoulder height. Step forward to stretch your chest and shoulders. Hold for 30 seconds."
Knee osteoarthritis,Quad sets,"Sit with your leg straight. Tighten the muscles on the front of your thigh, pushing the back of your knee into the floor. Hold for 5 seconds, repeat 10 times."
Knee osteoarthritis,Hamstring stretch,"Sit on the edge of a chair, extend one leg straight, and reach towards your toes. Hold for 30 seconds, switch legs."
Knee osteoarthritis,Straight leg raises,Lie on your back with one leg bent. Lift the other leg straight to the height of the bent knee. Repeat 10 times per leg.
Knee osteoarthritis,Step-ups,"Stand in front of a step. Step up with one foot, then the other, then step down. Repeat 10 times per leg."
Knee osteoarthritis,Wall squats,"Lean against a wall, slide down into a squat position with knees at 90 degrees. Hold for 10 seconds, repeat 5 times."
Knee osteoarthritis,Calf raises,"Stand with feet shoulder-width apart. Lift your heels off the ground, then lower. Repeat 15 times."
Ankle sprain,Ankle circles,"Sit or lie down, lift one foot, and rotate your ankle in circles. Perform 10 circles in each direction, then switch ankles."
Ankle sprain,Calf stretch,"Stand facing a wall, place one foot behind you with the heel on the ground. Lean forward to stretch the calf. Hold for 30 seconds, switch legs."
Ankle sprain,Heel raises,"Stand with feet shoulder-width apart. Lift your heels off the ground, then lower. Repeat 15 times."
Ankle sprain,Toe raises,"Stand with feet shoulder-width apart. Lift your toes off the ground, then lower. Repeat 15 times."
Ankle sprain,Balance exercises,"Stand on one leg for 30 seconds, then switch legs. Use a wall for support if needed."
Ankle sprain,Resistance band exercises,"Sit with legs extended, loop a resistance band around your foot. Push against the band with your foot, repeat 10 times per foot."
Sciatica,Piriformis stretch,"Lie on your back with both knees bent. Cross one leg over the other, placing the ankle on the opposite knee. Pull the bottom thigh towards your chest. Hold for 30 seconds, then switch sides."
Sciatica,Knee to chest stretch,"Lie on your back with knees bent. Pull one knee towards your chest, keeping the other foot flat on the floor. Hold for 30 seconds, then switch legs."
Sciatica,Sciatic nerve glide,"Sit on a chair, extend one leg straight, and flex your foot. Slowly lower your head towards your knee. Repeat 10 times per leg."
Sciatica,Seated forward bend,"Sit with legs extended, reach forward towards your toes. Hold for 30 seconds."
Sciatica,Figure-four stretch,"Lie on your back, cross one ankle over the opposite knee. Pull the bottom thigh towards your chest. Hold for 30 seconds, switch sides."
Sciatica,Lumbar extension,"Lie face down, place hands under shoulders, and gently push up, extending your back. Hold for 5 seconds, repeat 10 times."
